step: 0, e_loss: 0.311
step: 1000, e_loss: 0.0763
step: 2000, e_loss: 0.0495
step: 3000, e_loss: 0.0203
step: 4000, e_loss: 0.017
step: 5000, e_loss: 0.014
step: 6000, e_loss: 0.0154
step: 7000, e_loss: 0.0116
step: 8000, e_loss: 0.0098
step: 9000, e_loss: 0.0081
step: 10000, e_loss: 0.0081
step: 11000, e_loss: 0.0075
step: 12000, e_loss: 0.0077
step: 13000, e_loss: 0.0069
step: 14000, e_loss: 0.0054
step: 15000, e_loss: 0.0049
step: 16000, e_loss: 0.0047
step: 17000, e_loss: 0.0045
step: 18000, e_loss: 0.0042
step: 19000, e_loss: 0.0041
step: 20000, e_loss: 0.0039
step: 21000, e_loss: 0.0038
step: 22000, e_loss: 0.0039
step: 23000, e_loss: 0.0039
step: 24000, e_loss: 0.0039
step: 25000, e_loss: 0.0039
step: 26000, e_loss: 0.0038
step: 27000, e_loss: 0.0034
step: 28000, e_loss: 0.0035
step: 29000, e_loss: 0.0029
step: 30000, e_loss: 0.003
step: 31000, e_loss: 0.0034
step: 32000, e_loss: 0.0035
step: 33000, e_loss: 0.0031
step: 34000, e_loss: 0.003
step: 35000, e_loss: 0.0028
step: 36000, e_loss: 0.0025
step: 37000, e_loss: 0.0024
step: 38000, e_loss: 0.003
step: 39000, e_loss: 0.0032
step: 40000, e_loss: 0.0029
step: 41000, e_loss: 0.0028
step: 42000, e_loss: 0.0026
step: 43000, e_loss: 0.0025
step: 44000, e_loss: 0.0031
step: 45000, e_loss: 0.0024
step: 46000, e_loss: 0.0028
step: 47000, e_loss: 0.0023
step: 48000, e_loss: 0.0026
step: 49000, e_loss: 0.0021
